Incident_ID,Asset_ID,Serial_Number,Incident_Date,Issue_Type,Resolution_Days,Repair_Cost
INC000001,AST000001,DEL7312620000,2024-01-01,Network Issue,9,86.46
INC000002,AST000001,DEL7312620000,2022-08-28,Network Issue,6,388.53
INC000003,AST000001,DEL7312620000,2024-05-14,Network Issue,13,144.08
INC000004,AST000009,LEN7917980008,2021-06-13,Network Issue,1,426.23
INC000005,AST000009,LEN7917980008,2023-11-24,Performance Issue,9,101.06
INC000006,AST000011,HP7042010010,2024-09-25,Software Issue,10,312.69
INC000007,AST000011,HP7042010010,2021-04-15,Hardware Failure,5,235.79
INC000008,AST000011,HP7042010010,2024-10-25,Network Issue,4,309.22
INC000009,AST000014,HP8659900013,2024-03-11,Software Issue,9,250.76
INC000010,AST000016,DEL6481770015,2023-11-09,Network Issue,12,132.05
INC000011,AST000022,HP3337520021,2024-01-05,Network Issue,14,286.52
INC000012,AST000029,MIC6081360028,2020-08-17,Software Issue,8,320.15
INC000013,AST000029,MIC6081360028,2023-02-12,Software Issue,13,135.17
INC000014,AST000029,MIC6081360028,2024-10-30,Hardware Failure,11,130.5
INC000015,AST000035,LEN9915970034,2023-08-17,Network Issue,14,161.39
INC000016,AST000035,LEN9915970034,2024-06-08,Hardware Failure,9,96.6
INC000017,AST000039,APP6771240038,2019-09-09,Hardware Failure,8,304.27
INC000018,AST000039,APP6771240038,2019-03-13,Network Issue,8,477.69
INC000019,AST000040,LEN6077190039,2021-10-20,Hardware Failure,13,343.0
INC000020,AST000040,LEN6077190039,2020-04-10,Network Issue,11,455.17
INC000021,AST000040,LEN6077190039,2020-06-12,Network Issue,14,255.49
INC000022,AST000041,HP2075700040,2024-01-29,Performance Issue,5,396.24
INC000023,AST000041,HP2075700040,2023-08-09,Hardware Failure,4,214.15
INC000024,AST000041,HP2075700040,2022-10-11,Hardware Failure,1,91.19
INC000025,AST000043,MIC5496600042,2021-10-10,Software Issue,3,53.37
INC000026,AST000043,MIC5496600042,2022-07-17,Performance Issue,10,471.11
INC000027,AST000047,HP5316410046,2023-06-18,Network Issue,14,104.4
INC000028,AST000047,HP5316410046,2023-11-13,Performance Issue,2,146.24
INC000029,AST000049,APP6775960048,2023-02-02,Hardware Failure,5,281.7
INC000030,AST000049,APP6775960048,2023-12-14,Software Issue,7,317.82
INC000031,AST000050,DEL2998690049,2024-08-06,Hardware Failure,11,194.79
INC000032,AST000052,MIC8808790051,2022-04-15,Performance Issue,4,454.11
INC000033,AST000052,MIC8808790051,2023-04-04,Network Issue,8,111.05
INC000034,AST000052,MIC8808790051,2024-02-12,Hardware Failure,6,254.2
INC000035,AST000053,HP2511570052,2024-01-10,Network Issue,6,203.82
INC000036,AST000053,HP2511570052,2023-10-15,Performance Issue,1,196.88
INC000037,AST000053,HP2511570052,2023-01-12,Performance Issue,8,412.56
INC000038,AST000055,DEL6934180054,2021-11-11,Hardware Failure,7,390.17
INC000039,AST000055,DEL6934180054,2022-05-29,Network Issue,5,77.13
INC000040,AST000057,LEN1230050056,2023-08-14,Software Issue,5,55.88
INC000041,AST000057,LEN1230050056,2024-05-22,Performance Issue,4,380.66
INC000042,AST000057,LEN1230050056,2024-02-29,Performance Issue,2,199.57
INC000043,AST000062,LEN8303160061,2020-10-30,Network Issue,1,436.23
INC000044,AST000062,LEN8303160061,2022-04-23,Software Issue,5,351.96
INC000045,AST000062,LEN8303160061,2022-06-08,Performance Issue,3,54.94
INC000046,AST000071,APP9697520070,2023-06-22,Software Issue,4,423.06
INC000047,AST000071,APP9697520070,2023-11-20,Software Issue,5,273.91
INC000048,AST000072,LEN4944680071,2019-06-09,Network Issue,13,64.6
INC000049,AST000072,LEN4944680071,2024-06-21,Hardware Failure,6,260.72
INC000050,AST000072,LEN4944680071,2021-03-14,Software Issue,9,275.17
INC000051,AST000075,HP7712370074,2024-09-15,Software Issue,9,105.69
INC000052,AST000075,HP7712370074,2024-09-06,Network Issue,2,352.1
INC000053,AST000077,HP8967880076,2022-09-21,Hardware Failure,10,290.01
INC000054,AST000077,HP8967880076,2022-10-26,Performance Issue,10,53.14
INC000055,AST000078,LEN4866490077,2020-03-18,Hardware Failure,4,103.85
INC000056,AST000078,LEN4866490077,2022-05-03,Hardware Failure,4,212.22
INC000057,AST000078,LEN4866490077,2023-07-28,Hardware Failure,1,358.59
INC000058,AST000080,DEL8118750079,2019-07-22,Hardware Failure,12,154.1
INC000059,AST000081,LEN1888340080,2023-09-10,Software Issue,3,277.1
INC000060,AST000081,LEN1888340080,2023-05-11,Software Issue,5,437.37
INC000061,AST000081,LEN1888340080,2023-05-02,Network Issue,13,232.16
INC000062,AST000083,MIC5308160082,2024-01-27,Network Issue,11,90.33
INC000063,AST000083,MIC5308160082,2024-10-04,Software Issue,3,199.26
INC000064,AST000083,MIC5308160082,2023-03-14,Network Issue,10,449.77
INC000065,AST000085,HP3860420084,2022-12-30,Network Issue,1,309.37
INC000066,AST000088,HP5500890087,2020-01-25,Performance Issue,5,83.18
INC000067,AST000088,HP5500890087,2023-12-24,Software Issue,3,419.54
INC000068,AST000089,MIC5929720088,2019-09-05,Performance Issue,1,157.83
INC000069,AST000089,MIC5929720088,2024-10-10,Hardware Failure,14,330.82
INC000070,AST000091,HP8898820090,2024-09-24,Performance Issue,9,466.36
INC000071,AST000094,APP8110270093,2023-06-07,Performance Issue,13,185.24
INC000072,AST000101,MIC6064040100,2021-06-09,Performance Issue,8,465.88
INC000073,AST000105,DEL6287500104,2022-10-30,Network Issue,7,473.3
INC000074,AST000105,DEL6287500104,2024-05-26,Network Issue,1,313.66
INC000075,AST000106,MIC7317280105,2019-12-31,Software Issue,6,68.84
INC000076,AST000106,MIC7317280105,2021-01-13,Software Issue,14,262.5
INC000077,AST000106,MIC7317280105,2024-07-15,Hardware Failure,8,239.25
INC000078,AST000109,DEL2587870108,2021-07-11,Network Issue,9,404.41
INC000079,AST000109,DEL2587870108,2021-04-02,Performance Issue,3,287.52
INC000080,AST000112,APP1828680111,2024-07-24,Network Issue,9,136.26
INC000081,AST000112,APP1828680111,2022-09-26,Network Issue,10,266.18
INC000082,AST000112,APP1828680111,2022-12-16,Network Issue,8,210.59
INC000083,AST000113,LEN6568370112,2023-09-12,Hardware Failure,4,478.39
INC000084,AST000113,LEN6568370112,2021-09-22,Software Issue,10,63.37
INC000085,AST000113,LEN6568370112,2023-06-19,Network Issue,6,318.53
INC000086,AST000118,LEN4217090117,2023-12-12,Hardware Failure,1,316.31
INC000087,AST000118,LEN4217090117,2023-10-20,Software Issue,11,320.79
INC000088,AST000125,DEL9581360124,2023-01-10,Software Issue,8,463.21
INC000089,AST000125,DEL9581360124,2023-08-16,Software Issue,1,200.43
INC000090,AST000130,APP4458880129,2024-04-12,Software Issue,2,311.57
INC000091,AST000130,APP4458880129,2023-06-11,Software Issue,9,412.85
INC000092,AST000130,APP4458880129,2023-02-20,Network Issue,1,339.52
INC000093,AST000132,DEL1069330131,2018-12-06,Network Issue,13,475.07
INC000094,AST000134,LEN8964830133,2022-04-15,Network Issue,13,482.91
INC000095,AST000135,APP6538150134,2023-11-29,Performance Issue,12,340.84
INC000096,AST000135,APP6538150134,2021-09-16,Hardware Failure,4,68.13
INC000097,AST000139,MIC1959660138,2024-02-01,Software Issue,3,81.66
INC000098,AST000140,LEN4060240139,2023-10-29,Hardware Failure,15,461.24
INC000099,AST000140,LEN4060240139,2022-02-12,Network Issue,4,199.32
INC000100,AST000141,MIC3639260140,2023-11-29,Hardware Failure,10,443.52
INC000101,AST000143,HP9561560142,2022-03-09,Network Issue,14,212.39
INC000102,AST000148,HP9389130147,2023-03-06,Hardware Failure,2,313.89
INC000103,AST000148,HP9389130147,2023-03-14,Network Issue,6,406.28
INC000104,AST000148,HP9389130147,2023-01-16,Performance Issue,9,464.18
INC000105,AST000149,HP5714130148,2023-11-08,Performance Issue,14,147.19
INC000106,AST000149,HP5714130148,2022-11-01,Software Issue,7,326.92
INC000107,AST000150,HP4286280149,2019-10-11,Network Issue,2,66.7
INC000108,AST000152,MIC6081490151,2024-05-20,Software Issue,6,220.13
INC000109,AST000153,APP2763790152,2024-10-27,Performance Issue,13,463.65
INC000110,AST000155,LEN9229740154,2020-07-30,Hardware Failure,1,226.81
INC000111,AST000160,APP8612530159,2023-07-16,Performance Issue,8,325.81
INC000112,AST000160,APP8612530159,2024-01-05,Performance Issue,8,73.32
INC000113,AST000160,APP8612530159,2024-03-05,Software Issue,15,284.07
INC000114,AST000162,DEL3234040161,2022-08-19,Network Issue,11,490.27
INC000115,AST000162,DEL3234040161,2024-05-06,Performance Issue,6,421.91
INC000116,AST000162,DEL3234040161,2024-03-15,Software Issue,12,298.8
INC000117,AST000164,MIC9218750163,2021-02-21,Network Issue,4,418.28
INC000118,AST000166,DEL7716520165,2023-03-30,Performance Issue,8,254.76
INC000119,AST000169,LEN7580150168,2024-07-04,Performance Issue,9,138.11
INC000120,AST000169,LEN7580150168,2022-11-07,Hardware Failure,3,317.2
INC000121,AST000169,LEN7580150168,2024-09-11,Software Issue,7,112.62
INC000122,AST000170,DEL3564300169,2024-09-01,Hardware Failure,7,217.75
INC000123,AST000175,MIC3125590174,2024-08-28,Software Issue,1,107.4
INC000124,AST000175,MIC3125590174,2024-07-29,Network Issue,8,304.01
INC000125,AST000176,HP9665290175,2022-05-26,Network Issue,10,82.46
INC000126,AST000176,HP9665290175,2024-03-04,Software Issue,14,231.29
INC000127,AST000176,HP9665290175,2023-08-25,Network Issue,14,92.59
INC000128,AST000178,DEL1228590177,2022-04-05,Network Issue,13,251.93
INC000129,AST000179,HP4711360178,2022-12-01,Network Issue,3,256.33
INC000130,AST000179,HP4711360178,2021-07-14,Performance Issue,6,429.59
INC000131,AST000179,HP4711360178,2022-04-20,Software Issue,10,149.63
INC000132,AST000181,LEN1614370180,2024-02-16,Network Issue,3,85.85
INC000133,AST000181,LEN1614370180,2023-10-15,Performance Issue,6,321.24
INC000134,AST000181,LEN1614370180,2024-09-25,Performance Issue,12,168.86
INC000135,AST000184,HP2548870183,2022-10-04,Hardware Failure,7,90.68
INC000136,AST000189,DEL4543660188,2023-03-01,Network Issue,9,88.99
INC000137,AST000192,APP5611010191,2020-10-07,Performance Issue,15,165.72
INC000138,AST000193,LEN3385640192,2022-06-19,Software Issue,13,312.64
INC000139,AST000193,LEN3385640192,2023-10-13,Performance Issue,10,127.77
INC000140,AST000205,MIC7113440204,2022-07-19,Performance Issue,14,295.85
INC000141,AST000205,MIC7113440204,2022-11-09,Performance Issue,6,387.91
INC000142,AST000206,HP7862240205,2024-08-14,Software Issue,1,193.1
INC000143,AST000206,HP7862240205,2024-02-03,Network Issue,13,198.9
INC000144,AST000206,HP7862240205,2023-06-17,Hardware Failure,14,56.37
INC000145,AST000207,LEN6247880206,2022-12-05,Hardware Failure,7,156.91
INC000146,AST000207,LEN6247880206,2024-04-07,Software Issue,14,357.24
INC000147,AST000210,MIC4272520209,2022-02-08,Hardware Failure,4,342.66
INC000148,AST000210,MIC4272520209,2020-08-19,Software Issue,14,320.96
INC000149,AST000210,MIC4272520209,2020-12-08,Network Issue,12,111.14
INC000150,AST000211,LEN4767010210,2020-02-07,Performance Issue,11,300.89
INC000151,AST000211,LEN4767010210,2020-07-26,Performance Issue,8,402.19
INC000152,AST000212,DEL9087130211,2020-11-20,Network Issue,12,122.62
INC000153,AST000215,MIC8587110214,2024-02-22,Hardware Failure,13,196.53
INC000154,AST000218,HP9170120217,2019-09-06,Network Issue,7,184.78
INC000155,AST000218,HP9170120217,2023-07-04,Network Issue,3,443.25
INC000156,AST000218,HP9170120217,2020-12-01,Software Issue,6,184.31
INC000157,AST000219,HP8589310218,2021-12-25,Network Issue,4,59.72
INC000158,AST000219,HP8589310218,2021-06-21,Performance Issue,1,352.64
INC000159,AST000232,LEN8420570231,2021-02-21,Performance Issue,2,170.91
INC000160,AST000234,LEN1259050233,2022-04-15,Performance Issue,5,410.78
INC000161,AST000234,LEN1259050233,2022-08-03,Network Issue,13,492.54
INC000162,AST000234,LEN1259050233,2021-04-20,Performance Issue,12,495.01
INC000163,AST000235,MIC1686520234,2018-12-29,Performance Issue,3,169.33
INC000164,AST000235,MIC1686520234,2021-10-15,Hardware Failure,15,427.06
INC000165,AST000235,MIC1686520234,2021-07-23,Performance Issue,13,334.66
INC000166,AST000239,LEN9928190238,2024-02-06,Software Issue,8,267.23
INC000167,AST000239,LEN9928190238,2022-12-28,Performance Issue,4,461.86
INC000168,AST000241,LEN9469340240,2020-12-31,Network Issue,1,290.06
INC000169,AST000241,LEN9469340240,2020-09-21,Performance Issue,10,425.68
INC000170,AST000241,LEN9469340240,2022-09-03,Software Issue,3,454.51
INC000171,AST000243,HP1384360242,2024-08-28,Network Issue,14,254.24
INC000172,AST000243,HP1384360242,2022-06-09,Hardware Failure,2,92.45
INC000173,AST000251,APP1977160250,2019-09-20,Hardware Failure,6,163.66
INC000174,AST000264,MIC3209890263,2024-07-12,Software Issue,1,56.89
INC000175,AST000264,MIC3209890263,2023-02-11,Network Issue,9,186.62
INC000176,AST000276,LEN8499370275,2024-04-29,Network Issue,4,248.88
INC000177,AST000276,LEN8499370275,2024-01-14,Network Issue,14,89.87
INC000178,AST000277,HP1587600276,2021-08-10,Software Issue,15,364.88
INC000179,AST000277,HP1587600276,2024-06-24,Network Issue,11,206.68
INC000180,AST000277,HP1587600276,2023-07-12,Software Issue,1,490.63
INC000181,AST000278,APP9084470277,2023-01-03,Hardware Failure,6,341.47
INC000182,AST000278,APP9084470277,2022-01-19,Software Issue,5,149.69
INC000183,AST000278,APP9084470277,2023-07-04,Performance Issue,6,431.79
INC000184,AST000279,LEN3283670278,2020-11-28,Network Issue,4,231.12
INC000185,AST000280,APP3608040279,2021-09-16,Network Issue,9,435.43
INC000186,AST000284,APP3009240283,2024-05-04,Network Issue,4,62.18
INC000187,AST000284,APP3009240283,2022-12-07,Performance Issue,8,102.86
INC000188,AST000285,APP1636480284,2021-11-17,Performance Issue,9,375.96
INC000189,AST000285,APP1636480284,2020-09-22,Network Issue,6,361.76
INC000190,AST000285,APP1636480284,2024-01-03,Hardware Failure,9,414.3
INC000191,AST000287,HP6766800286,2021-04-20,Software Issue,3,330.09
INC000192,AST000289,APP3326650288,2018-07-21,Performance Issue,5,239.97
INC000193,AST000289,APP3326650288,2019-04-23,Network Issue,13,159.2
INC000194,AST000294,MIC7227250293,2020-06-11,Software Issue,15,201.32
INC000195,AST000294,MIC7227250293,2021-08-22,Performance Issue,2,481.87
INC000196,AST000297,MIC7951860296,2023-12-12,Performance Issue,1,184.9
INC000197,AST000297,MIC7951860296,2024-10-10,Network Issue,2,399.55
INC000198,AST000303,HP5915340302,2023-08-13,Network Issue,3,278.89
INC000199,AST000303,HP5915340302,2023-05-15,Hardware Failure,15,176.55
INC000200,AST000305,MIC6997160304,2024-09-06,Performance Issue,8,81.33
INC000201,AST000305,MIC6997160304,2024-07-29,Performance Issue,10,64.84
INC000202,AST000305,MIC6997160304,2024-10-27,Network Issue,4,105.67
INC000203,AST000306,DEL1516900305,2024-02-13,Hardware Failure,5,153.66
INC000204,AST000306,DEL1516900305,2021-11-26,Performance Issue,6,381.39
INC000205,AST000306,DEL1516900305,2024-05-22,Network Issue,11,207.42
INC000206,AST000308,LEN1956200307,2021-09-19,Performance Issue,14,353.43
INC000207,AST000312,MIC8338420311,2023-01-04,Software Issue,3,331.2
