Asset_ID,Serial_Number,Manufacturer,Model,Asset_Type,Purchase_Date,Purchase_Cost,Warranty_End_Date,Region,Department,Assigned_User,Status,OS_Version,Encryption_Status,Last_Login_Days_Ago,Avg_CPU_Usage_Percent,Disk_Usage_Percent,Has_Failed,Age_Years
AST000001,DEL7312620000,Dell,OptiPlex 7090,Laptop,2020-09-30,845.11,2025-09-29,Europe,Operations,,Active,Ubuntu 22.04,Encrypted,1,63.99,87.99,Yes,4.08
AST000002,MIC2014140001,Microsoft,Surface Pro 8,Server,2023-01-14,11166.73,2026-01-13,Asia Pacific,Marketing,user6514,Active,,,0,69.32,40.38,No,1.8
AST000003,LEN7933840002,Lenovo,ThinkSystem SR650,Laptop,2024-01-06,1187.43,2025-01-05,Asia Pacific,IT,user4150,Active,Windows 11,Encrypted,6,25.12,49.06,No,0.82
AST000004,DEL6600860003,Dell,OptiPlex 7090,Server,2023-02-01,12291.27,2024-02-01,Europe,Sales,user2169,Active,,,5,30.57,53.09,No,1.75
AST000005,APP5148500004,Apple,MacBook Air M1,Monitor,2021-08-21,950.05,2024-08-20,Latin America,Finance,user6155,In Repair,,,8,6.87,32.09,No,3.2
AST000006,LEN2602650005,Lenovo,ThinkPad T14,Desktop,2024-04-18,1164.7,2025-04-18,Latin America,Marketing,user2489,Active,Windows 10,Encrypted,6,78.36,55.96,No,0.54
AST000007,APP2658400006,Apple,Mac Mini M1,Server,2023-12-08,12398.41,2026-12-07,Asia Pacific,Marketing,user6573,Active,,,0,64.22,37.45,No,0.9
AST000008,HP4399020007,HP,EliteBook 840,Tablet,2021-05-07,790.88,2026-05-06,North America,HR,user9689,In Repair,,Encrypted,23,18.27,39.93,No,3.49
AST000009,LEN7917980008,Lenovo,ThinkPad X1 Carbon,Desktop,2020-09-13,1027.75,2021-09-13,Europe,HR,user9727,Retired,Ubuntu 20.04,Encrypted,341,0.0,0.0,Yes,4.13
AST000010,MIC1671360009,Microsoft,Surface Pro 8,Server,2024-01-18,10895.11,2025-01-17,Europe,Marketing,user8397,Active,,,3,66.34,55.93,No,0.79
AST000011,HP7042010010,HP,EliteBook 840,Laptop,2018-08-30,1603.54,2023-08-29,Latin America,Engineering,user3167,Active,macOS Sonoma,Encrypted,0,75.88,34.61,Yes,6.17
AST000012,HP3607350011,HP,EliteBook 840,Laptop,2022-11-01,1125.7,2023-11-01,Latin America,Finance,user7596,Active,macOS Sonoma,Encrypted,6,50.36,77.39,No,2.0
AST000013,HP9766380012,HP,ProLiant DL380,Monitor,2020-10-20,208.85,2025-10-19,North America,Engineering,user1828,Retired,,,334,0.0,0.0,No,4.03
AST000014,HP8659900013,HP,ProLiant DL380,Desktop,2023-06-13,1495.88,2028-06-11,Latin America,Finance,user8454,Active,Windows 11,Encrypted,6,78.66,40.7,Yes,1.39
AST000015,LEN6324960014,Lenovo,ThinkPad X1 Carbon,Desktop,2024-06-30,672.1,,Europe,IT,user3579,Active,Ubuntu 20.04,Encrypted,0,68.62,33.72,No,0.34
AST000016,DEL6481770015,Dell,PowerEdge R740,Desktop,2019-05-07,884.73,2024-05-05,Asia Pacific,Finance,user7868,Disposed,Ubuntu 22.04,Encrypted,1346,0.0,0.0,Yes,5.49
AST000017,LEN3235080016,Lenovo,ThinkCentre M90,Desktop,2022-06-10,1055.3,,Europe,HR,user2638,Active,Windows 10,Unknown,4,49.72,90.39,No,2.39
AST000018,HP7956130017,HP,EliteDesk 800,Monitor,2019-10-09,262.15,2022-10-08,Europe,HR,,In Repair,,,24,21.11,69.76,No,5.06
AST000019,DEL9696340018,Dell,Latitude 7420,Laptop,2021-01-20,1270.36,2024-01-20,North America,HR,user1832,Active,Windows 11,Encrypted,3,66.64,43.23,No,3.78
AST000020,LEN4232320019,Lenovo,ThinkSystem SR650,Desktop,2024-03-09,928.19,2025-03-09,North America,HR,user3426,Active,Windows 11,Encrypted,0,27.27,91.43,No,0.65
AST000021,HP5323220020,HP,EliteDesk 800,Laptop,2024-04-12,842.14,2025-04-12,Asia Pacific,Engineering,user3662,In Storage,macOS Sonoma,Encrypted,238,0.0,93.3,No,0.55
AST000022,HP3337520021,HP,ProBook 450,Monitor,2019-03-19,214.2,2020-03-18,Europe,Sales,user6000,In Storage,,,49,0.0,85.81,Yes,5.62
AST000023,LEN7255500022,Lenovo,ThinkPad X1 Carbon,Monitor,2021-02-17,460.74,,Asia Pacific,Sales,user5349,Active,,,6,64.17,84.84,No,3.7
