CI_ID,Serial_Number,Discovered_User,Discovered_Encryption,Last_Discovery_Date,Discovery_Source
CI896796,DEL7312620000,,Encrypted,2024-10-23,Intune
CI441677,MIC2014140001,user6514,,2024-09-11,JAMF
CI102157,LEN7933840002,user4150,Encrypted,2024-10-10,JAMF
CI210864,DEL6600860003,user2169,,2024-09-02,Intune
CI615466,APP5148500004,user6155,Unknown,2024-10-27,SCCM
CI752227,LEN2602650005,user2489,Encrypted,2024-10-17,SCCM
CI663762,HP4399020007,user9689,Encrypted,2024-08-08,SCCM
CI469986,LEN7917980008,user3756,Encrypted,2024-09-11,Intune
CI281348,MIC1671360009,user8397,,2024-09-15,Intune
CI618120,HP7042010010,user3167,Encrypted,2024-09-06,SCCM
CI695375,HP3607350011,user7596,Encrypted,2024-10-09,SCCM
CI890970,HP9766380012,user1828,,2024-09-18,SCCM
CI495074,HP8659900013,user7599,Unknown,2024-08-26,Intune
CI739264,LEN6324960014,user3579,Encrypted,2024-09-24,JAMF
CI174295,DEL6481770015,user3322,Encrypted,2024-08-26,Intune
CI662263,LEN3235080016,user2638,Unknown,2024-09-23,JAMF
CI547563,HP7956130017,,,2024-10-09,Intune
CI192097,LEN4232320019,user6450,Encrypted,2024-08-09,Intune
CI986278,HP5323220020,user3662,Not Encrypted,2024-08-28,JAMF
CI400775,HP3337520021,user2047,,2024-09-16,JAMF
CI495635,LEN7255500022,user5349,,2024-08-17,SCCM
CI262554,MIC7965030023,user9935,Unknown,2024-09-21,SCCM
CI818221,DEL5258000024,user3851,,2024-10-06,Intune
CI718288,LEN6404900025,user3780,Encrypted,2024-09-09,Intune
CI302805,LEN6183920026,user4185,Encrypted,2024-10-16,SCCM
CI374786,DEL4327110027,user9574,Encrypted,2024-08-30,Intune
CI583787,MIC6081360028,user9580,,2024-08-12,JAMF
CI527599,DEL5359700029,user7678,,2024-10-07,Intune
CI287644,MIC6119450030,user2854,Encrypted,2024-09-02,SCCM
CI338955,LEN4669600032,user9837,Encrypted,2024-09-03,JAMF
CI858922,DEL7353240033,user5198,Not Encrypted,2024-09-03,Intune
CI540185,LEN9915970034,user2669,Encrypted,2024-10-27,JAMF
CI459522,DEL2846920035,user8532,,2024-10-29,Intune
CI355836,MIC4973990036,user8613,,2024-09-21,JAMF
CI354054,LEN3530800037,user7947,Encrypted,2024-09-21,Intune
CI107274,APP6771240038,user6632,,2024-09-27,JAMF
CI170509,LEN6077190039,user4033,,2024-10-21,SCCM
CI656029,HP2075700040,user3068,,2024-10-24,JAMF
CI139841,APP7600210041,user7565,,2024-08-21,JAMF
CI548967,MIC5496600042,user8253,,2024-09-15,JAMF
CI798356,DEL4020990043,user8699,Encrypted,2024-09-23,Intune
CI246833,HP8221310044,user5728,,2024-08-07,JAMF
CI328529,MIC9613220045,user1339,Encrypted,2024-09-18,SCCM
CI938853,HP5316410046,user2713,,2024-08-16,JAMF
CI826529,APP2966940047,user9889,Encrypted,2024-10-31,Intune
CI188967,DEL2998690049,user8483,,2024-08-31,Intune
CI237753,DEL6647420050,user9022,,2024-09-21,Intune
CI626636,MIC8808790051,user7730,Encrypted,2024-10-01,Intune
CI231351,HP2511570052,user1529,,2024-08-22,SCCM
CI824761,APP7474530053,user8994,,2024-08-20,JAMF
CI423875,DEL6934180054,user3385,,2024-09-02,Intune
CI318139,HP6731490055,user8622,Encrypted,2024-09-10,SCCM
CI335396,LEN1230050056,user5847,,2024-10-29,SCCM
CI637331,DEL9047510057,user5106,Encrypted,2024-08-31,Intune
CI231850,LEN4835420059,user7511,,2024-10-15,JAMF
CI607629,LEN7791120060,user2302,Encrypted,2024-08-27,SCCM
CI588521,LEN8303160061,user8432,,2024-09-03,Intune
CI644673,HP6709130062,user2627,,2024-08-15,JAMF
CI805603,APP4497090063,user1349,Not Encrypted,2024-10-19,SCCM
CI172753,DEL6381690065,user2041,Not Encrypted,2024-08-21,Intune
CI985820,MIC1847140066,user8267,Encrypted,2024-10-13,JAMF
CI919306,APP1703940068,user3500,Encrypted,2024-10-06,SCCM
CI983365,DEL4276260069,user1842,,2024-09-10,JAMF
CI556677,APP9697520070,user1430,Encrypted,2024-10-03,Intune
CI571562,LEN4944680071,,,2024-08-22,Intune
CI355091,HP7712370074,user8033,Encrypted,2024-08-25,SCCM
CI261486,LEN1800890075,user8761,Encrypted,2024-10-31,Intune
CI360080,HP8967880076,user9095,,2024-09-27,SCCM
CI677033,LEN4866490077,user8404,Encrypted,2024-10-22,SCCM
CI760487,MIC2085290078,user3471,Encrypted,2024-10-16,SCCM
CI681793,DEL8118750079,user7347,Encrypted,2024-09-30,SCCM
CI537028,LEN1888340080,user7421,Encrypted,2024-09-25,Intune
CI444111,HP1809130081,user4711,Encrypted,2024-08-11,Intune
CI372653,MIC5308160082,user3712,Encrypted,2024-09-18,JAMF
CI816913,MIC9159220083,user8218,,2024-08-25,SCCM
CI409777,HP3860420084,user5670,Encrypted,2024-09-18,JAMF
CI637505,APP4341650085,user2337,Encrypted,2024-10-23,SCCM
CI791913,HP6754620086,,Encrypted,2024-09-11,SCCM
CI744706,HP5500890087,user4963,,2024-10-25,Intune
CI829615,MIC5929720088,user9316,,2024-10-09,JAMF
CI842168,LEN2835940089,user6772,Encrypted,2024-08-23,Intune
CI324217,LEN3796760091,user9151,,2024-09-27,JAMF
CI439976,APP8110270093,user1510,,2024-10-04,Intune
CI728705,HP5740010095,user5778,,2024-10-02,Intune
